Meter_Id,Meter_Id(prefix removed),Cleaned_Date,Weekday,Weekday(number),Week_Number,Region_Code,District,Dwelling_Type,Labeled_Dwelling_type,Num_Occupants,House_Area (sqft),Appliance_Score,Appliance_Score_Grouped,Connected_Load(kw),Load_category(labeled),Temperature_C,Temparature_category,Humidity (%),Cleaned_Expected_Energy(kwh),Cleaned_Actual_Energy(kwh),Usage_Deviation(%),Cluster_Avg_Energy(kwh),Abnormal_Usage,Pattern_Usage,,,
IN-KL-ELC-97400511,97400511,1/25/2023,Wednesday,4,4,IN_KL_TVM,Thiruvananthapuram,Independent House,0,2,2458,6,Low,7.21,3,29.52,25-30,83.53,12.82,19.89,55.12%,16.89,1,1,,,
IN-KL-ELC-28113115,28113115,1/4/2023,Wednesday,4,1,IN_KL_ALP,Alappuzha,Independent House,0,3,2295,9,Low,7.98,3,25.83,25-30,48.79,14.66,15.51,5.80%,17.83,0,1,,,
IN-KL-ELC-17499006,17499006,1/4/2023,Wednesday,4,1,IN_KL_TVM,Thiruvananthapuram,Apartment,2,3,2424,16,High,5.47,3,31.91,>30,46.66,16.67,15.11,-9.36%,17.26,0,0,,,
IN-KL-ELC-22187937,22187937,1/21/2023,Saturday,7,3,IN_KL_ERN,Ernakulam,Apartment,2,1,2787,18,High,5.41,3,21.15,<25,58.49,12.71,21.26,67.28%,16.61,1,1,,,
IN-KL-ELC-57403818,57403818,1/28/2023,Saturday,7,4,IN_KL_ERN,Ernakulam,Independent House,0,4,2389,10,Low,2.99,1,30.91,>30,77.26,13.53,12.67,-6.36%,16.43,0,0,,,
IN-KL-ELC-89330274,89330274,1/6/2023,Friday,6,1,IN_KL_ERN,Ernakulam,Independent House,0,2,2501,18,High,6.94,3,28.45,25-30,61.15,16.51,15.79,-4.36%,16.43,0,0,,,
IN-KL-ELC-13794510,13794510,1/5/2023,Thursday,5,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,5,2791,20,High,4.67,2,29.76,25-30,72.91,19.13,0.00,-100.00%,16.89,1,1,,DATA LABELS,
IN-KL-ELC-27773185,27773185,1/25/2023,Wednesday,4,4,IN_KL_ALP,Alappuzha,Apartment,2,6,2752,17,High,5.14,3,32.56,>30,47.77,20.36,27.41,34.62%,16.47,1,1,,Dwelling Type Labels: ,
IN-KL-ELC-52308792,52308792,1/10/2023,Tuesday,3,2,IN_KL_ERN,Ernakulam,Independent House,0,5,1614,17,High,6.43,3,22.80,<25,64.85,17.37,17.80,2.48%,16.43,0,0,,Independent House,0
IN-KL-ELC-55367153,55367153,1/4/2023,Wednesday,4,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,490,12,Medium,6.27,3,34.75,>30,69.76,14.14,14.08,-0.42%,16.89,0,1,,Villa ,1
IN-KL-ELC-84064269,84064269,1/8/2023,Sunday,1,2,IN_KL_ERN,Ernakulam,Independent House,0,3,2423,10,Low,2.56,1,30.98,>30,52.45,12.10,11.41,-5.70%,16.43,1,0,,Apartment,2
IN-KL-ELC-63187488,63187488,1/28/2023,Saturday,7,4,IN_KL_ERN,Ernakulam,Villa,1,2,1907,20,High,5.23,3,29.48,25-30,72.2,16.19,17.19,6.18%,16.28,0,0,,,
IN-KL-ELC-57335079,57335079,1/3/2023,Tuesday,3,1,IN_KL_ALP,Alappuzha,Independent House,0,6,2319,18,High,4.08,2,29.71,25-30,57.48,19.08,19.81,3.83%,17.83,0,1,,,
IN-KL-ELC-49701826,49701826,1/4/2023,Wednesday,4,1,IN_KL_ALP,Alappuzha,Independent House,0,6,2722,8,Low,3.13,2,29.54,25-30,65.09,14.85,15.70,5.72%,17.83,0,1,,Weekdays,
IN-KL-ELC-70260372,70260372,1/15/2023,Sunday,1,3,IN_KL_ERN,Ernakulam,Independent House,0,5,1054,8,Low,4.03,2,34.54,>30,78.14,16.43,14.55,-11.44%,16.43,0,0,,Sunday,1
